,neuropil_types
0,ME_L
1,LA_L
2,UNASGD
3,LOP_L
4,LO_L
5,AVLP_L
6,SLP_L
7,LH_L
8,PVLP_L
9,PLP_L
10,AOTU_L
11,AME_L
12,GNG
13,AL_R
14,LAL_R
15,ME_R
16,AVLP_R
17,SMP_R
18,AMMC_L
19,SMP_L
20,MB_VL_R
21,LO_R
22,MB_PED_R
23,VES_L
24,CRE_R
25,AMMC_R
26,SCL_R
27,LOP_R
28,PLP_R
29,CRE_L
30,LH_R
31,SPS_R
32,VES_R
33,PVLP_R
34,PB
35,ICL_L
36,ATL_L
37,PRW
38,SCL_L
39,CAN_R
40,LAL_L
41,SPS_L
42,IPS_L
43,WED_L
44,IPS_R
45,MB_VL_L
46,FB
47,SLP_R
48,SIP_R
49,AL_L
50,EPA_L
51,IB_R
52,FLA_R
53,SIP_L
54,SAD
55,WED_R
56,EB
57,FLA_L
58,MB_PED_L
59,BU_R
60,IB_L
61,MB_ML_L
62,MB_CA_L
63,GOR_R
64,LA_R
65,ICL_R
66,MB_CA_R
67,EPA_R
68,GOR_L
69,AOTU_R
70,MB_ML_R
71,ATL_R
72,NO
73,AME_R
74,GA_L
75,BU_L
76,OCG
77,CAN_L
78,GA_R
